Market Center,Commodity,State,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Kolhapur,Cabbage,Maharashtra,2011,February,37.8,Tonnes,NR,Other,200,700,500,Rs/Quintal
Mumbai,Cabbage,Maharashtra,2011,February,127,Tonnes,NR,Other,300,600,400,Rs/Quintal
Nagpur(Mahatma Phule Market),Cabbage,Maharashtra,2011,February,15,Tonnes,NR,Other,200,300,250,Rs/Quintal
Nasik,Cabbage,Maharashtra,2011,February,157.2,Tonnes,NR,Other,100,200,150,Rs/Quintal
Pandharpur,Cabbage,Maharashtra,2011,February,1.3,Tonnes,NR,Other,150,500,200,Rs/Quintal
Parbhani,Cabbage,Maharashtra,2011,February,2.5,Tonnes,NR,Other,200,400,300,Rs/Quintal
Patan,Cabbage,Maharashtra,2011,February,2.9,Tonnes,NR,Other,400,500,450,Rs/Quintal
Pune,Cabbage,Maharashtra,2011,February,57.1,Tonnes,NR,Other,200,400,300,Rs/Quintal
Pune(Hadapsar),Cabbage,Maharashtra,2011,February,6.8,Tonnes,NR,Other,200,400,300,Rs/Quintal
Pune(Khadiki),Cabbage,Maharashtra,2011,February,6.4,Tonnes,NR,Other,200,300,250,Rs/Quintal
Satara,Cabbage,Maharashtra,2011,February,0.5,Tonnes,NR,Other,200,400,300,Rs/Quintal
Solapur,Cabbage,Maharashtra,2011,February,11.9,Tonnes,NR,Other,150,350,250,Rs/Quintal
Imphal,Cabbage,Manipur,2011,February,0.7,Tonnes,NR,Other,800,800,800,Rs/Quintal
Azadpur,Cabbage,NCT of Delhi,2011,February,132.4,Tonnes,NR,Cabbage,117,217,175,Rs/Quintal
Keshopur,Cabbage,NCT of Delhi,2011,February,56.58,Tonnes,NR,Other,200,300,250,Rs/Quintal
Shahdara,Cabbage,NCT of Delhi,2011,February,15.2,Tonnes,NR,Cabbage,300,400,350,Rs/Quintal
Angul,Cabbage,Orissa,2011,February,3.6,Tonnes,NR,Other,400,600,500,Rs/Quintal
Angul(Jarapada),Cabbage,Orissa,2011,February,4.2,Tonnes,NR,Other,400,600,500,Rs/Quintal
Attabira,Cabbage,Orissa,2011,February,4,Tonnes,NR,Other,400,500,400,Rs/Quintal
Balugaon,Cabbage,Orissa,2011,February,1.8,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Bampada,Cabbage,Orissa,2011,February,10,Tonnes,NR,Other,500,700,600,Rs/Quintal
Baripada,Cabbage,Orissa,2011,February,1.2,Tonnes,NR,Cabbage,800,1000,900,Rs/Quintal
Bhawanipatna,Cabbage,Orissa,2011,February,8,Tonnes,NR,Other,500,500,500,Rs/Quintal
Boudh,Cabbage,Orissa,2011,February,5,Tonnes,"Orissa,Boudh",Other,700,800,800,Rs/Quintal
Champua,Cabbage,Orissa,2011,February,14,Tonnes,NR,Other,600,700,650,Rs/Quintal
Deogarh,Cabbage,Orissa,2011,February,2.2,Tonnes,NR,Other,600,1000,800,Rs/Quintal
Jajpur,Cabbage,Orissa,2011,February,2,Tonnes,NR,Other,700,800,700,Rs/Quintal
Jaleswar,Cabbage,Orissa,2011,February,2.5,Tonnes,NR,Other,350,500,400,Rs/Quintal
Kantabaji,Cabbage,Orissa,2011,February,0.05,Tonnes,NR,Other,700,800,700,Rs/Quintal
Keonjhar,Cabbage,Orissa,2011,February,0.5,Tonnes,NR,Other,800,900,800,Rs/Quintal
Keonjhar(Jhumpura),Cabbage,Orissa,2011,February,8,Tonnes,NR,Other,600,700,650,Rs/Quintal
Khunthabandha,Cabbage,Orissa,2011,February,4,Tonnes,NR,Other,600,700,700,Rs/Quintal
Malkanagiri,Cabbage,Orissa,2011,February,0.47,Tonnes,NR,Other,780,820,800,Rs/Quintal
Nawarangpur,Cabbage,Orissa,2011,February,20,Tonnes,"Orissa,Nowarangpur",Cabbage,300,500,400,Rs/Quintal
Nimapara,Cabbage,Orissa,2011,February,2.5,Tonnes,NR,Other,450,500,500,Rs/Quintal
Sargipali,Cabbage,Orissa,2011,February,3,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Sohela,Cabbage,Orissa,2011,February,10,Tonnes,NR,Other,600,600,600,Rs/Quintal
Talcher,Cabbage,Orissa,2011,February,3.4,Tonnes,NR,Other,800,1200,1000,Rs/Quintal
Udala,Cabbage,Orissa,2011,February,7.3,Tonnes,NR,Other,450,470,450,Rs/Quintal
Adampur,Cabbage,Punjab,2011,February,0.8,Tonnes,NR,Cabbage,300,400,400,Rs/Quintal
Amritsar(Amritsar Mewa Mandi),Cabbage,Punjab,2011,February,30,Tonnes,NR,Other,100,200,150,Rs/Quintal
Banga,Cabbage,Punjab,2011,February,0.6,Tonnes,NR,Other,356,356,356,Rs/Quintal
Dera Bassi,Cabbage,Punjab,2011,February,0.4,Tonnes,NR,Other,400,500,450,Rs/Quintal
Ferozepur Cantt.,Cabbage,Punjab,2011,February,0.21,Tonnes,NR,Other,500,600,550,Rs/Quintal
Giddarbaha,Cabbage,Punjab,2011,February,0.8,Tonnes,NR,Cabbage,200,300,250,Rs/Quintal
Gurdaspur,Cabbage,Punjab,2011,February,1,Tonnes,NR,Other,300,400,350,Rs/Quintal
Guru Har Sahai,Cabbage,Punjab,2011,February,0.1,Tonnes,NR,Cabbage,400,400,400,Rs/Quintal
Jalandhar City,Cabbage,Punjab,2011,February,17.5,Tonnes,NR,Other,100,200,150,Rs/Quintal
Khamano,Cabbage,Punjab,2011,February,0.1,Tonnes,NR,Other,400,400,400,Rs/Quintal
Kot ise Khan,Cabbage,Punjab,2011,February,0.06,Tonnes,NR,Other,500,550,525,Rs/Quintal
Ludhiana,Cabbage,Punjab,2011,February,42,Tonnes,NR,Other,150,300,225,Rs/Quintal
Machhiwara,Cabbage,Punjab,2011,February,0.68,Tonnes,NR,Other,150,250,200,Rs/Quintal
Malout,Cabbage,Punjab,2011,February,1,Tonnes,NR,Other,250,400,300,Rs/Quintal
Nawan Shahar(Subzi Mandi),Cabbage,Punjab,2011,February,0.5,Tonnes,NR,Other,500,600,540,Rs/Quintal
Noor Mehal,Cabbage,Punjab,2011,February,0.1,Tonnes,NR,Other,200,300,250,Rs/Quintal
Pathankot,Cabbage,Punjab,2011,February,8,Tonnes,NR,Other,100,150,125,Rs/Quintal
Sangrur,Cabbage,Punjab,2011,February,0.9,Tonnes,NR,Cabbage,200,250,200,Rs/Quintal
Tanda Urmur,Cabbage,Punjab,2011,February,0.5,Tonnes,NR,Other,500,800,700,Rs/Quintal
Zira,Cabbage,Punjab,2011,February,0.1,Tonnes,NR,Other,200,600,400,Rs/Quintal
Ajmer(F&V),Cabbage,Rajasthan,2011,February,7.7,Tonnes,NR,Other,125,400,250,Rs/Quintal
Alwar(FV),Cabbage,Rajasthan,2011,February,3.1,Tonnes,NR,Other,400,600,500,Rs/Quintal
Bikaner(F&V),Cabbage,Rajasthan,2011,February,9.5,Tonnes,NR,Other,200,300,250,Rs/Quintal
Chittorgarh,Cabbage,Rajasthan,2011,February,1,Tonnes,NR,Other,300,500,400,Rs/Quintal
Jodhpur(F&V)(Paota),Cabbage,Rajasthan,2011,February,20.7,Tonnes,NR,Other,100,200,150,Rs/Quintal
Kota (FV),Cabbage,Rajasthan,2011,February,6.7,Tonnes,NR,Other,200,400,300,Rs/Quintal
Sriganganagar(F&V),Cabbage,Rajasthan,2011,February,20,Tonnes,NR,Other,700,900,800,Rs/Quintal
Udaipur(F&V),Cabbage,Rajasthan,2011,February,5.6,Tonnes,NR,Other,100,300,275,Rs/Quintal
Katpadi(Uzhavar Santhai),Cabbage,Tamil Nadu,2011,February,0.15,Tonnes,NR,Other,1000,1000,1000,Rs/Quintal
Barpathari,Cabbage,Tripura,2011,February,0.2,Tonnes,NR,Other,350,500,400,Rs/Quintal
Bishalgarh,Cabbage,Tripura,2011,February,0.18,Tonnes,NR,Cabbage,450,800,700,Rs/Quintal
Bishalgarh,Cabbage,Tripura,2011,February,,,NR,Other,400,750,650,Rs/Quintal
Champaknagar,Cabbage,Tripura,2011,February,2,Tonnes,NR,Cabbage,700,720,710,Rs/Quintal
Jumpuijala,Cabbage,Tripura,2011,February,0.6,Tonnes,NR,Other,600,1000,800,Rs/Quintal
Melaghar,Cabbage,Tripura,2011,February,1.8,Tonnes,NR,Other,600,1000,800,Rs/Quintal
Taliamura,Cabbage,Tripura,2011,February,3.5,Tonnes,NR,Other,700,800,750,Rs/Quintal
Bahraich,Cabbage,Uttar Pradesh,2011,February,10,Tonnes,NR,Cabbage,550,620,600,Rs/Quintal
Bareilly,Cabbage,Uttar Pradesh,2011,February,16,Tonnes,NR,Cabbage,NR,NR,290,Rs/Quintal
Jhansi,Cabbage,Uttar Pradesh,2011,February,15,Tonnes,NR,Other,NR,NR,300,Rs/Quintal
Mainpuri,Cabbage,Uttar Pradesh,2011,February,8.5,Tonnes,NR,Other,220,275,265,Rs/Quintal
Raibareilly,Cabbage,Uttar Pradesh,2011,February,0.8,Tonnes,NR,Other,140,160,155,Rs/Quintal
Sandi,Cabbage,Uttar Pradesh,2011,February,2,Tonnes,NR,Other,NR,NR,260,Rs/Quintal
Haldwani,Cabbage,Uttrakhand,2011,February,7.6,Tonnes,NR,Other,162,220,181,Rs/Quintal
Kicchha,Cabbage,Uttrakhand,2011,February,2,Tonnes,NR,Cabbage,200,250,250,Rs/Quintal
Rudrapur,Cabbage,Uttrakhand,2011,February,7,Tonnes,NR,Other,300,400,350,Rs/Quintal
Baruipur(Canning),Cabbage,West Bengal,2011,February,10,Tonnes,NR,Cabbage,300,400,300,Rs/Quintal
Baxirhat,Cabbage,West Bengal,2011,February,8.5,Tonnes,NR,Other,175,200,180,Rs/Quintal
Coochbehar,Cabbage,West Bengal,2011,February,4.8,Tonnes,NR,Other,175,225,200,Rs/Quintal
Dhupguri,Cabbage,West Bengal,2011,February,30,Tonnes,NR,Other,200,250,210,Rs/Quintal
Diamond Harbour,Cabbage,West Bengal,2011,February,13.6,Tonnes,NR,Cabbage,400,500,400,Rs/Quintal
Falakata(Dhupguri),Cabbage,West Bengal,2011,February,5,Tonnes,NR,Other,180,225,200,Rs/Quintal
Jalpaiguri Sadar,Cabbage,West Bengal,2011,February,3.5,Tonnes,NR,Other,250,300,270,Rs/Quintal
Midnapore Sadar,Cabbage,West Bengal,2011,February,7.5,Tonnes,NR,Cabbage,475,525,500,Rs/Quintal
Purulia,Cabbage,West Bengal,2011,February,1.45,Tonnes,NR,Other,600,800,700,Rs/Quintal
Ramkrishanpur(Howrah),Cabbage,West Bengal,2011,February,2.8,Tonnes,NR,Cabbage,750,780,760,Rs/Quintal
Sealdah Koley Market,Cabbage,West Bengal,2011,February,76,Tonnes,NR,Other,400,500,400,Rs/Quintal
Sheoraphuly,Cabbage,West Bengal,2011,February,3,Tonnes,NR,Other,300,350,300,Rs/Quintal
Tamluk (Medinipur E),Cabbage,West Bengal,2011,February,1.7,Tonnes,NR,Other,450,550,500,Rs/Quintal
Ch. Dadri,Capsicum,Haryana,2011,February,4,Tonnes,NR,Other,1300,1700,1500,Rs/Quintal
Meham,Capsicum,Haryana,2011,February,1,Tonnes,NR,Other,NR,3000,1500,Rs/Quintal
Mohindergarh,Capsicum,Haryana,2011,February,0.21,Tonnes,NR,Other,900,1400,1000,Rs/Quintal
Palwal,Capsicum,Haryana,2011,February,6,Tonnes,NR,Other,500,1500,1000,Rs/Quintal
Yamuna Nagar,Capsicum,Haryana,2011,February,12,Tonnes,NR,Other,1200,1500,1500,Rs/Quintal
Bhuntar,Capsicum,Himachal Pradesh,2011,February,NR,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Bilaspur,Capsicum,Himachal Pradesh,2011,February,0.1,Tonnes,NR,Other,1300,1500,1400,Rs/Quintal
Dhanotu (Mandi),Capsicum,Himachal Pradesh,2011,February,0.2,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Hamirpur,Capsicum,Himachal Pradesh,2011,February,0.23,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Hamirpur(Nadaun),Capsicum,Himachal Pradesh,2011,February,0.05,Tonnes,NR,Other,2000,2500,2500,Rs/Quintal
Kangra,Capsicum,Himachal Pradesh,2011,February,0.5,Tonnes,NR,Capsicum,1800,2000,1900,Rs/Quintal
Kangra(Baijnath),Capsicum,Himachal Pradesh,2011,February,0.1,Tonnes,NR,Capsicum,2200,2300,2250,Rs/Quintal
Kangra(Jaisinghpur),Capsicum,Himachal Pradesh,2011,February,0.04,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Kangra(Jassour),Capsicum,Himachal Pradesh,2011,February,0.2,Tonnes,NR,Capsicum,1800,2000,1900,Rs/Quintal
Kangra(Nagrota Bagwan),Capsicum,Himachal Pradesh,2011,February,0.1,Tonnes,NR,Capsicum,2400,2500,2450,Rs/Quintal
Kullu,Capsicum,Himachal Pradesh,2011,February,0.2,Tonnes,NR,Other,2000,2500,2200,Rs/Quintal
Mandi(Mandi),Capsicum,Himachal Pradesh,2011,February,0.4,Tonnes,NR,Other,1300,2000,1800,Rs/Quintal
Palampur,Capsicum,Himachal Pradesh,2011,February,0.3,Tonnes,NR,Capsicum,1600,1800,1700,Rs/Quintal
Paonta Sahib,Capsicum,Himachal Pradesh,2011,February,0.1,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Solan,Capsicum,Himachal Pradesh,2011,February,0.2,Tonnes,NR,Other,1500,2000,1600,Rs/Quintal
Una,Capsicum,Himachal Pradesh,2011,February,0.3,Tonnes,NR,Other,2000,2500,2200,Rs/Quintal
Lohardaga,Capsicum,Jharkhand,2011,February,2,Tonnes,NR,Other,1600,2000,1900,Rs/Quintal
"Binny Mill (F&V), Bangalore",Capsicum,Karnataka,2011,February,7,Tonnes,NR,Capsicum,1400,1800,1600,Rs/Quintal
Chickkaballapura,Capsicum,Karnataka,2011,February,1,Tonnes,NR,Capsicum,700,1300,1000,Rs/Quintal
Alappuzha,Capsicum,Kerala,2011,February,NR,Tonnes,NR,Other,3800,4000,3800,Rs/Quintal
Cherthala,Capsicum,Kerala,2011,February,0.4,Tonnes,NR,Other,3800,4000,3800,Rs/Quintal
Kollam,Capsicum,Kerala,2011,February,0.2,Tonnes,NR,Other,4800,5000,4900,Rs/Quintal
Kondotty,Capsicum,Kerala,2011,February,NR,Tonnes,NR,Other,1900,2200,2000,Rs/Quintal
Keshopur,Capsicum,NCT of Delhi,2011,February,5.26,Tonnes,NR,Other,1100,1400,1250,Rs/Quintal
Shahdara,Capsicum,NCT of Delhi,2011,February,4,Tonnes,NR,Capsicum,1500,2500,2000,Rs/Quintal
Adampur,Capsicum,Punjab,2011,February,0.1,Tonnes,NR,Capsicum,2000,2000,2000,Rs/Quintal
Banga,Capsicum,Punjab,2011,February,0.3,Tonnes,NR,Other,1887,1887,1887,Rs/Quintal
Firozepur City,Capsicum,Punjab,2011,February,4,Tonnes,NR,Other,1000,1200,1100,Rs/Quintal
Kurali,Capsicum,Punjab,2011,February,0.1,Tonnes,NR,Other,1900,2000,1950,Rs/Quintal
Ludhiana,Capsicum,Punjab,2011,February,10,Tonnes,NR,Other,1100,1400,1250,Rs/Quintal
Mukerian,Capsicum,Punjab,2011,February,0.14,Tonnes,NR,Capsicum,2200,2500,2400,Rs/Quintal
Mukerian(Talwara),Capsicum,Punjab,2011,February,0.12,Tonnes,NR,Capsicum,1800,2500,2300,Rs/Quintal
Nawan Shahar(Subzi Mandi),Capsicum,Punjab,2011,February,0.65,Tonnes,NR,Other,1500,1700,1610,Rs/Quintal
Tanda Urmur,Capsicum,Punjab,2011,February,0.05,Tonnes,NR,Other,2500,3000,2800,Rs/Quintal
Bikaner(F&V),Capsicum,Rajasthan,2011,February,1.6,Tonnes,NR,Other,900,1100,1000,Rs/Quintal
Chittorgarh,Capsicum,Rajasthan,2011,February,203.5,Tonnes,NR,Other,1000,1500,1250,Rs/Quintal
Jodhpur(F&V)(Paota),Capsicum,Rajasthan,2011,February,1.5,Tonnes,NR,Other,1300,1500,1400,Rs/Quintal
Katpadi(Uzhavar Santhai),Capsicum,Tamil Nadu,2011,February,0.02,Tonnes,NR,Other,2400,2400,2400,Rs/Quintal
Kotadwara,Capsicum,Uttrakhand,2011,February,0.2,Tonnes,NR,Capsicum,400,1500,1000,Rs/Quintal
Baruipur(Canning),Capsicum,West Bengal,2011,February,3.5,Tonnes,NR,Capsicum,2200,2400,2200,Rs/Quintal
Sealdah Koley Market,Capsicum,West Bengal,2011,February,37.6,Tonnes,NR,Other,800,1000,800,Rs/Quintal
Kovvur,Carrot,Andhra Pradesh,2011,February,6,Tonnes,NR,Carrot,1600,1800,1700,Rs/Quintal
Vijayawada,Carrot,Andhra Pradesh,2011,February,14,Tonnes,NR,Carrot,700,900,800,Rs/Quintal
Kharupetia,Carrot,Assam,2011,February,20,Tonnes,NR,Other,300,700,600,Rs/Quintal
P.O. Uparhali Guwahati,Carrot,Assam,2011,February,2.5,Tonnes,NR,Carrot,600,950,800,Rs/Quintal
Ahmedabad,Carrot,Gujarat,2011,February,279.5,Tonnes,NR,Other,250,500,400,Rs/Quintal
Ankleshwar,Carrot,Gujarat,2011,February,0.4,Tonnes,NR,Other,400,500,450,Rs/Quintal
Bilimora,Carrot,Gujarat,2011,February,3.5,Tonnes,NR,Other,500,800,650,Rs/Quintal
Botad,Carrot,Gujarat,2011,February,0.6,Tonnes,NR,Other,250,550,400,Rs/Quintal
Dahod(Veg. Market),Carrot,Gujarat,2011,February,1.5,Tonnes,NR,Other,500,1000,800,Rs/Quintal
Deesa(Deesa Veg Yard),Carrot,Gujarat,2011,February,15.2,Tonnes,NR,Other,500,700,600,Rs/Quintal
Dhari,Carrot,Gujarat,2011,February,0.56,Tonnes,NR,Carrot,500,1175,700,Rs/Quintal
Mansa(Manas Veg Yard),Carrot,Gujarat,2011,February,1.4,Tonnes,NR,Other,300,500,350,Rs/Quintal
Siddhpur,Carrot,Gujarat,2011,February,43,Tonnes,NR,Other,300,400,350,Rs/Quintal
Talalagir,Carrot,Gujarat,2011,February,0.84,Tonnes,NR,Other,450,460,455,Rs/Quintal
Vadhvan,Carrot,Gujarat,2011,February,2.5,Tonnes,NR,Carrot,500,750,625,Rs/Quintal
Vadodara(Sayajipura),Carrot,Gujarat,2011,February,89.2,Tonnes,NR,Other,350,600,475,Rs/Quintal
Asandh,Carrot,Haryana,2011,February,3.5,Tonnes,NR,Other,290,360,350,Rs/Quintal
Ballabhgarh,Carrot,Haryana,2011,February,7,Tonnes,NR,Other,250,350,300,Rs/Quintal
Barwala(Hisar),Carrot,Haryana,2011,February,3.5,Tonnes,NR,Carrot,200,250,200,Rs/Quintal
Bhuna,Carrot,Haryana,2011,February,0.5,Tonnes,NR,Other,200,200,200,Rs/Quintal
Faridabad,Carrot,Haryana,2011,February,2.49,Tonnes,NR,Other,100,400,NR,Rs/Quintal
Fatehabad,Carrot,Haryana,2011,February,4.8,Tonnes,NR,Other,300,300,300,Rs/Quintal
Ganaur,Carrot,Haryana,2011,February,2.4,Tonnes,NR,Other,100,500,NR,Rs/Quintal
Gohana,Carrot,Haryana,2011,February,10,Tonnes,NR,Other,200,300,NR,Rs/Quintal
Iamailabad,Carrot,Haryana,2011,February,0.6,Tonnes,NR,Other,400,450,NR,Rs/Quintal
Indri,Carrot,Haryana,2011,February,0.6,Tonnes,NR,Other,200,400,250,Rs/Quintal
Jagadhri,Carrot,Haryana,2011,February,1.6,Tonnes,NR,Other,100,150,150,Rs/Quintal
kalanwali,Carrot,Haryana,2011,February,1.8,Tonnes,NR,Other,200,NR,200,Rs/Quintal
Kalayat,Carrot,Haryana,2011,February,0.3,Tonnes,NR,Other,500,500,500,Rs/Quintal
Khanina,Carrot,Haryana,2011,February,0.4,Tonnes,NR,Other,200,NR,NR,Rs/Quintal
Loharu,Carrot,Haryana,2011,February,10,Tonnes,NR,Other,200,200,200,Rs/Quintal
Meham,Carrot,Haryana,2011,February,37,Tonnes,NR,Other,400,500,450,Rs/Quintal
Mullana,Carrot,Haryana,2011,February,0.2,Tonnes,NR,Other,200,300,200,Rs/Quintal
Naraingarh,Carrot,Haryana,2011,February,3.53,Tonnes,NR,Other,100,300,200,Rs/Quintal
Palwal,Carrot,Haryana,2011,February,111,Tonnes,NR,Other,150,250,175,Rs/Quintal
Shahabad,Carrot,Haryana,2011,February,5.5,Tonnes,NR,Other,100,200,150,Rs/Quintal
Shahzadpur,Carrot,Haryana,2011,February,0.31,Tonnes,NR,Other,249,300,300,Rs/Quintal
Tohana,Carrot,Haryana,2011,February,2,Tonnes,NR,Other,200,300,NR,Rs/Quintal
Tosham,Carrot,Haryana,2011,February,0.3,Tonnes,NR,Carrot,200,200,200,Rs/Quintal
Yamuna Nagar,Carrot,Haryana,2011,February,241,Tonnes,NR,Other,150,400,400,Rs/Quintal
Bhuntar,Carrot,Himachal Pradesh,2011,February,NR,Tonnes,NR,Other,400,500,400,Rs/Quintal
Bilaspur,Carrot,Himachal Pradesh,2011,February,0.5,Tonnes,NR,Other,300,500,400,Rs/Quintal
Chamba,Carrot,Himachal Pradesh,2011,February,1,Tonnes,NR,Carrot,600,800,700,Rs/Quintal
Dhanotu (Mandi),Carrot,Himachal Pradesh,2011,February,1.4,Tonnes,NR,Other,400,500,500,Rs/Quintal
Hamirpur,Carrot,Himachal Pradesh,2011,February,3.73,Tonnes,NR,Other,500,625,600,Rs/Quintal
Hamirpur(Nadaun),Carrot,Himachal Pradesh,2011,February,3,Tonnes,NR,Other,500,600,600,Rs/Quintal
Kangra,Carrot,Himachal Pradesh,2011,February,3.5,Tonnes,NR,Carrot,400,600,500,Rs/Quintal
Kangra(Baijnath),Carrot,Himachal Pradesh,2011,February,1.5,Tonnes,NR,Carrot,300,400,350,Rs/Quintal
Kangra(Jaisinghpur),Carrot,Himachal Pradesh,2011,February,0.3,Tonnes,NR,Carrot,300,600,450,Rs/Quintal
Kangra(Jassour),Carrot,Himachal Pradesh,2011,February,4,Tonnes,NR,Carrot,300,400,350,Rs/Quintal
Kangra(Nagrota Bagwan),Carrot,Himachal Pradesh,2011,February,1,Tonnes,NR,Carrot,500,600,550,Rs/Quintal
Kullu,Carrot,Himachal Pradesh,2011,February,0.8,Tonnes,NR,Other,500,700,600,Rs/Quintal
Mandi(Mandi),Carrot,Himachal Pradesh,2011,February,2.3,Tonnes,NR,Other,300,700,500,Rs/Quintal
Palampur,Carrot,Himachal Pradesh,2011,February,2.8,Tonnes,NR,Carrot,400,500,450,Rs/Quintal
Paonta Sahib,Carrot,Himachal Pradesh,2011,February,1.2,Tonnes,NR,Other,400,400,400,Rs/Quintal
Santoshgarh,Carrot,Himachal Pradesh,2011,February,3.4,Tonnes,NR,Other,300,500,400,Rs/Quintal
Solan,Carrot,Himachal Pradesh,2011,February,2,Tonnes,NR,Other,300,600,400,Rs/Quintal
Una,Carrot,Himachal Pradesh,2011,February,3.3,Tonnes,NR,Other,500,700,600,Rs/Quintal
Gadhwah,Carrot,Jharkhand,2011,February,1.5,Tonnes,NR,Other,600,800,700,Rs/Quintal
"Binny Mill (F&V), Bangalore",Carrot,Karnataka,2011,February,33,Tonnes,NR,Carrot,1400,1600,1500,Rs/Quintal
Chickkaballapura,Carrot,Karnataka,2011,February,5,Tonnes,NR,Carrot,700,1000,900,Rs/Quintal
Chikkamagalore,Carrot,Karnataka,2011,February,2,Tonnes,NR,Other,1000,1400,1200,Rs/Quintal
Chintamani,Carrot,Karnataka,2011,February,3,Tonnes,NR,Pusakesar,1000,1200,1100,Rs/Quintal
Kanakapura,Carrot,Karnataka,2011,February,2,Tonnes,NR,Carrot,1200,1600,1500,Rs/Quintal
Kolar,Carrot,Karnataka,2011,February,NR,Tonnes,NR,Carrot,800,1200,1100,Rs/Quintal
Mysore (Bandipalya),Carrot,Karnataka,2011,February,1,Tonnes,NR,Carrot,1200,1400,1300,Rs/Quintal
Ramanagara,Carrot,Karnataka,2011,February,NR,Tonnes,NR,Carrot,1400,1650,1500,Rs/Quintal
Alappuzha,Carrot,Kerala,2011,February,NR,Tonnes,NR,Other,2500,3000,2600,Rs/Quintal
Athirampuzha,Carrot,Kerala,2011,February,0.5,Tonnes,NR,Other,2800,3300,3200,Rs/Quintal
Cherthala,Carrot,Kerala,2011,February,0.9,Tonnes,NR,Other,2500,3000,2700,Rs/Quintal
Ernakulam,Carrot,Kerala,2011,February,1.8,Tonnes,NR,Other,2500,2700,2600,Rs/Quintal
Kanjirappally,Carrot,Kerala,2011,February,1.5,Tonnes,NR,Other,3200,3700,3600,Rs/Quintal
Kollam,Carrot,Kerala,2011,February,0.5,Tonnes,NR,Other,3400,3600,3500,Rs/Quintal
Kondotty,Carrot,Kerala,2011,February,NR,Tonnes,NR,Other,2400,2800,2500,Rs/Quintal
Kottayam,Carrot,Kerala,2011,February,4,Tonnes,NR,Other,2600,3100,3000,Rs/Quintal
Moovattupuzha,Carrot,Kerala,2011,February,1,Tonnes,NR,Other,2400,2800,2600,Rs/Quintal
Palayam,Carrot,Kerala,2011,February,20,Tonnes,NR,Other,2400,2600,2500,Rs/Quintal
Perumbavoor,Carrot,Kerala,2011,February,1.5,Tonnes,NR,Carrot,2400,2400,2400,Rs/Quintal
A lot,Carrot,Madhya Pradesh,2011,February,2.5,Tonnes,NR,Other,1500,2000,1800,Rs/Quintal
Lashkar,Carrot,Madhya Pradesh,2011,February,10.3,Tonnes,NR,Carrot,200,400,300,Rs/Quintal
Sheopurkalan,Carrot,Madhya Pradesh,2011,February,0.4,Tonnes,NR,Other,400,400,400,Rs/Quintal
Ahmednagar,Carrot,Maharashtra,2011,February,4.2,Tonnes,NR,Other,430,1000,650,Rs/Quintal
Aurangabad,Carrot,Maharashtra,2011,February,17.8,Tonnes,NR,Other,300,600,450,Rs/Quintal
Jalgaon,Carrot,Maharashtra,2011,February,3.5,Tonnes,NR,Other,500,600,550,Rs/Quintal
Junnar(Otur),Carrot,Maharashtra,2011,February,0.7,Tonnes,NR,Other,200,600,500,Rs/Quintal
Kolhapur,Carrot,Maharashtra,2011,February,14,Tonnes,NR,Other,500,1500,1250,Rs/Quintal
Mumbai,Carrot,Maharashtra,2011,February,260,Tonnes,NR,Other,600,1000,800,Rs/Quintal
Nagpur(Mahatma Phule Market),Carrot,Maharashtra,2011,February,10,Tonnes,NR,Other,300,400,350,Rs/Quintal
Nasik,Carrot,Maharashtra,2011,February,3.1,Tonnes,NR,Other,500,900,700,Rs/Quintal
Pune,Carrot,Maharashtra,2011,February,207.7,Tonnes,NR,Other,400,950,700,Rs/Quintal
Pune(Hadapsar),Carrot,Maharashtra,2011,February,0.3,Tonnes,NR,Other,500,500,500,Rs/Quintal
Pune(Khadiki),Carrot,Maharashtra,2011,February,0.1,Tonnes,NR,Other,1000,1000,1000,Rs/Quintal
Satara,Carrot,Maharashtra,2011,February,0.7,Tonnes,NR,Other,600,1200,900,Rs/Quintal
Solapur,Carrot,Maharashtra,2011,February,7.3,Tonnes,NR,Other,150,900,350,Rs/Quintal
Azadpur,Carrot,NCT of Delhi,2011,February,507.3,Tonnes,NR,Carrot,200,500,350,Rs/Quintal
Shahdara,Carrot,NCT of Delhi,2011,February,89.2,Tonnes,NR,Carrot,400,600,500,Rs/Quintal
Angul,Carrot,Orissa,2011,February,2,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Attabira,Carrot,Orissa,2011,February,NR,Tonnes,NR,Other,400,500,400,Rs/Quintal
Adampur,Carrot,Punjab,2011,February,2.6,Tonnes,NR,Carrot,200,400,300,Rs/Quintal
Ahmedgarh,Carrot,Punjab,2011,February,0.3,Tonnes,NR,Other,400,NR,NR,Rs/Quintal
Ajnala,Carrot,Punjab,2011,February,0.5,Tonnes,NR,Carrot,600,600,600,Rs/Quintal
