Market Center,State,Commodity,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Raikot,Punjab,Kinnow,2012,February,6,Tonnes,NR,Other,400,1100,750,Rs/Quintal
Raman,Punjab,Kinnow,2012,February,0.8,Tonnes,NR,Other,940,1050,990,Rs/Quintal
Sangrur,Punjab,Kinnow,2012,February,3.6,Tonnes,NR,Kinnow,1000,1200,1000,Rs/Quintal
Sangrur,Punjab,Kinnow,2012,February,,,NR,Kinnow,300,600,600,Rs/Quintal
Sardulgarh,Punjab,Kinnow,2012,February,0.7,Tonnes,NR,Other,950,950,950,Rs/Quintal
Sirhind,Punjab,Kinnow,2012,February,7,Tonnes,NR,Other,800,1100,950,Rs/Quintal
Sunam,Punjab,Kinnow,2012,February,1.5,Tonnes,NR,Other,500,1400,1000,Rs/Quintal
Talwandi Sabo,Punjab,Kinnow,2012,February,0.5,Tonnes,NR,Other,1100,1400,1250,Rs/Quintal
Zira,Punjab,Kinnow,2012,February,0.4,Tonnes,NR,Other,1100,1300,1200,Rs/Quintal
Ajmer(F&V),Rajasthan,Kinnow,2012,February,11.5,Tonnes,NR,Other,500,900,800,Rs/Quintal
Vikasnagar,Uttrakhand,Kinnow,2012,February,0.6,Tonnes,NR,Other,1000,1500,1500,Rs/Quintal
Gudur,Andhra Pradesh,Lime,2012,February,NR,Tonnes,NR,Other,850,1250,1125,Rs/Quintal
Tadipatri,Andhra Pradesh,Lime,2012,February,NR,Tonnes,NR,Other,850,950,900,Rs/Quintal
Hissar,Haryana,Lime,2012,February,0.1,Tonnes,NR,Other,1200,1500,1200,Rs/Quintal
Samba,Jammu and Kashmir,Lime,2012,February,0.1,Tonnes,NR,Other,2400,2500,2450,Rs/Quintal
Palakkad,Kerala,Lime,2012,February,2,Tonnes,NR,Other,5500,6000,5750,Rs/Quintal
Pattambi,Kerala,Lime,2012,February,0.5,Tonnes,NR,Other,4500,5000,4750,Rs/Quintal
Aurangabad,Maharashtra,Lime,2012,February,1.5,Tonnes,NR,Other,2500,3500,3000,Rs/Quintal
Kolhapur,Maharashtra,Lime,2012,February,8,Tonnes,NR,Other,1000,4000,2000,Rs/Quintal
Nagpur(Mahatma Phule Market),Maharashtra,Lime,2012,February,5,Tonnes,NR,Other,170,180,175,Rs/Quintal
Pune,Maharashtra,Lime,2012,February,416.5,Tonnes,NR,Other,160,300,200,Rs/Quintal
Pune(Hadapsar),Maharashtra,Lime,2012,February,50,Tonnes,NR,Other,120,120,120,Rs/Quintal
Malout,Punjab,Lime,2012,February,0.2,Tonnes,NR,Other,1700,1900,1800,Rs/Quintal
Nawan Shahar(Subzi Mandi),Punjab,Lime,2012,February,0.05,Tonnes,NR,Other,3500,4000,3760,Rs/Quintal
Ajmer(F&V),Rajasthan,Lime,2012,February,2.2,Tonnes,NR,Other,1200,2200,2000,Rs/Quintal
Jalandhar City,Punjab,Mango,2012,February,0.4,Tonnes,NR,Other,2500,3500,3000,Rs/Quintal
P.O. Uparhali Guwahati,Assam,Mousambi,2012,February,4.2,Tonnes,NR,Other,1950,2500,2200,Rs/Quintal
Ambala City,Haryana,Mousambi,2012,February,0.2,Tonnes,NR,Other,1300,1600,1500,Rs/Quintal
Barara,Haryana,Mousambi,2012,February,0.2,Tonnes,NR,Other,1400,1750,1400,Rs/Quintal
Hodal,Haryana,Mousambi,2012,February,0.3,Tonnes,NR,Other,1000,1000,1000,Rs/Quintal
Mohindergarh,Haryana,Mousambi,2012,February,0.3,Tonnes,NR,Other,1000,1100,1000,Rs/Quintal
Narwana,Haryana,Mousambi,2012,February,0.4,Tonnes,NR,Other,1500,1500,1500,Rs/Quintal
Thanesar,Haryana,Mousambi,2012,February,0.2,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Yamuna Nagar,Haryana,Mousambi,2012,February,10,Tonnes,NR,Other,1200,1450,1450,Rs/Quintal
Santoshgarh,Himachal Pradesh,Mousambi,2012,February,0.1,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Gadhwah,Jharkhand,Mousambi,2012,February,0.4,Tonnes,NR,Other,2800,3200,3000,Rs/Quintal
Indore(F&V),Madhya Pradesh,Mousambi,2012,February,9,Tonnes,NR,Other,800,1600,1200,Rs/Quintal
Lashkar,Madhya Pradesh,Mousambi,2012,February,2,Tonnes,NR,Mousambi,600,1000,800,Rs/Quintal
Kolhapur,Maharashtra,Mousambi,2012,February,10,Tonnes,NR,Other,750,3250,1500,Rs/Quintal
Azadpur,NCT of Delhi,Mousambi,2012,February,142.1,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Azadpur,NCT of Delhi,Mousambi,2012,February,,,NR,Other1,1100,1300,1200,Rs/Quintal
Azadpur,NCT of Delhi,Mousambi,2012,February,,,NR,Other2,800,1000,900,Rs/Quintal
Barnala,Punjab,Mousambi,2012,February,2,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Jalandhar City,Punjab,Mousambi,2012,February,0.4,Tonnes,NR,Other,2500,3500,3000,Rs/Quintal
Khanna,Punjab,Mousambi,2012,February,0.9,Tonnes,NR,Other,1000,1400,1200,Rs/Quintal
Ludhiana,Punjab,Mousambi,2012,February,9,Tonnes,NR,Other,1200,1800,1500,Rs/Quintal
Nawan Shahar(Subzi Mandi),Punjab,Mousambi,2012,February,1.5,Tonnes,NR,Other,2000,2500,2260,Rs/Quintal
Patiala,Punjab,Mousambi,2012,February,0.5,Tonnes,NR,Mousambi,2000,2500,2300,Rs/Quintal
Phagwara,Punjab,Mousambi,2012,February,0.7,Tonnes,NR,Other,1800,2295,2050,Rs/Quintal
Sangrur,Punjab,Mousambi,2012,February,0.3,Tonnes,NR,Mousambi,2000,2000,2000,Rs/Quintal
Ajmer(F&V),Rajasthan,Mousambi,2012,February,1.1,Tonnes,NR,Other,1100,1700,1500,Rs/Quintal
Jodhpur(F&V)(Bhadwasia),Rajasthan,Mousambi,2012,February,11.2,Tonnes,NR,Other,1000,2000,1500,Rs/Quintal
Udaipur(F&V),Rajasthan,Mousambi,2012,February,3.1,Tonnes,NR,Other,800,1400,1150,Rs/Quintal
Katpadi(Uzhavar Santhai),Tamil Nadu,Mousambi,2012,February,0.05,Tonnes,NR,Other,4500,4500,4500,Rs/Quintal
Gaddiannaram,Telangana,Mousambi,2012,February,92,Tonnes,NR,Mousambi,400,1200,700,Rs/Quintal
Akbarpur,Uttar Pradesh,Mousambi,2012,February,NR,Tonnes,NR,Other,1650,1800,1700,Rs/Quintal
Faizabad,Uttar Pradesh,Mousambi,2012,February,3.5,Tonnes,NR,Other,1650,1700,1680,Rs/Quintal
Jhansi,Uttar Pradesh,Mousambi,2012,February,8,Tonnes,NR,Other,1350,1700,1600,Rs/Quintal
Muzzafarnagar,Uttar Pradesh,Mousambi,2012,February,1.2,Tonnes,NR,Other,1125,1350,1275,Rs/Quintal
Vikasnagar,Uttrakhand,Mousambi,2012,February,0.2,Tonnes,NR,Other,2500,3000,3000,Rs/Quintal
Mechua,West Bengal,Mousambi,2012,February,41.9,Tonnes,NR,Other,2500,2900,2800,Rs/Quintal
Mechua,West Bengal,Mousambi,2012,February,,,NR,Other1,2000,2300,2200,Rs/Quintal
Mechua,West Bengal,Mousambi,2012,February,,,NR,Other2,1500,1800,1600,Rs/Quintal
Azadpur,NCT of Delhi,Musk Melon,2012,February,50.6,Tonnes,NR,Musk Melon,1111,2778,1843,Rs/Quintal
Pulivendala,Andhra Pradesh,Orange,2012,February,0.1,Tonnes,NR,Medium,900,1200,1040,Rs/Quintal
Tadipatri,Andhra Pradesh,Orange,2012,February,NR,Tonnes,NR,Orange,1500,1600,1550,Rs/Quintal
P.O. Uparhali Guwahati,Assam,Orange,2012,February,1.7,Tonnes,NR,Orange,1850,2750,2550,Rs/Quintal
Vadodara(Navapura),Gujarat,Orange,2012,February,26.5,Tonnes,NR,Other,1600,2000,1900,Rs/Quintal
Ambala City,Haryana,Orange,2012,February,0.6,Tonnes,NR,Other,1500,1600,1500,Rs/Quintal
Ateli,Haryana,Orange,2012,February,0.01,Tonnes,NR,Other,1950,1950,1950,Rs/Quintal
Ballabhgarh,Haryana,Orange,2012,February,7,Tonnes,NR,Other,1500,2500,2000,Rs/Quintal
Barara,Haryana,Orange,2012,February,0.1,Tonnes,NR,Other,2200,2200,2200,Rs/Quintal
Behal,Haryana,Orange,2012,February,0.2,Tonnes,NR,Other,1375,1375,1375,Rs/Quintal
Faridabad,Haryana,Orange,2012,February,22.8,Tonnes,NR,Other,500,1600,NR,Rs/Quintal
Fatehabad,Haryana,Orange,2012,February,0.1,Tonnes,NR,Other,3500,3500,3500,Rs/Quintal
Gharaunda,Haryana,Orange,2012,February,1.5,Tonnes,NR,Other,1000,2000,2000,Rs/Quintal
Hissar,Haryana,Orange,2012,February,1.6,Tonnes,NR,Other,1450,1450,1450,Rs/Quintal
Jakhal,Haryana,Orange,2012,February,0.1,Tonnes,NR,Other,3500,3500,3500,Rs/Quintal
Ladwa,Haryana,Orange,2012,February,0.2,Tonnes,NR,Other,1600,1800,1600,Rs/Quintal
Mohindergarh,Haryana,Orange,2012,February,0.8,Tonnes,NR,Other,1000,1500,1400,Rs/Quintal
Naraingarh,Haryana,Orange,2012,February,0.28,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Rohtak,Haryana,Orange,2012,February,65,Tonnes,NR,Other,1000,2000,1500,Rs/Quintal
Sonepat,Haryana,Orange,2012,February,0.6,Tonnes,NR,Other,1900,2100,NR,Rs/Quintal
Thanesar,Haryana,Orange,2012,February,12,Tonnes,NR,Orange,2000,4000,3000,Rs/Quintal
Uklana,Haryana,Orange,2012,February,0.1,Tonnes,NR,Orange,2500,2500,2500,Rs/Quintal
Yamuna Nagar,Haryana,Orange,2012,February,3,Tonnes,NR,Other,1500,3100,3100,Rs/Quintal
Bhuntar,Himachal Pradesh,Orange,2012,February,0.1,Tonnes,NR,Other,2700,3000,2800,Rs/Quintal
Kullu,Himachal Pradesh,Orange,2012,February,0.1,Tonnes,NR,Other,3400,3800,3500,Rs/Quintal
Santoshgarh,Himachal Pradesh,Orange,2012,February,0.7,Tonnes,NR,Nagpuri,900,1200,1100,Rs/Quintal
Una,Himachal Pradesh,Orange,2012,February,2.3,Tonnes,NR,Other,1000,1500,1400,Rs/Quintal
Samba,Jammu and Kashmir,Orange,2012,February,1,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Gadhwah,Jharkhand,Orange,2012,February,1,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Lashkar,Madhya Pradesh,Orange,2012,February,42.5,Tonnes,NR,Orange,700,1200,950,Rs/Quintal
Syopurkalan(F&V),Madhya Pradesh,Orange,2012,February,2.4,Tonnes,NR,Other,800,800,800,Rs/Quintal
Kolhapur,Maharashtra,Orange,2012,February,7.3,Tonnes,NR,Other,1120,1610,1400,Rs/Quintal
Nagpur,Maharashtra,Orange,2012,February,544.7,Tonnes,NR,Other,600,1800,1200,Rs/Quintal
Narkhed,Maharashtra,Orange,2012,February,30.5,Tonnes,NR,Other,3800,4800,4270,Rs/Quintal
Rahuri,Maharashtra,Orange,2012,February,0.3,Tonnes,NR,Other,500,1700,1100,Rs/Quintal
Shillong,Meghalaya,Orange,2012,February,3,Tonnes,NR,Orange,3400,4000,3700,Rs/Quintal
Bassi Pathana,Punjab,Orange,2012,February,0.5,Tonnes,NR,Other,3000,3500,3200,Rs/Quintal
Bhawanigarh,Punjab,Orange,2012,February,0.2,Tonnes,NR,Other,1200,3800,2500,Rs/Quintal
Jalandhar City,Punjab,Orange,2012,February,9.5,Tonnes,NR,Other,1500,1800,1650,Rs/Quintal
Lehra Gaga,Punjab,Orange,2012,February,0.15,Tonnes,NR,Other,NR,1400,NR,Rs/Quintal
Ludhiana,Punjab,Orange,2012,February,7,Tonnes,NR,Other,2000,3200,2600,Rs/Quintal
Patiala,Punjab,Orange,2012,February,0.3,Tonnes,NR,Orange,2000,2500,2300,Rs/Quintal
Phagwara,Punjab,Orange,2012,February,0.5,Tonnes,NR,Other,2400,3500,3000,Rs/Quintal
Sangrur,Punjab,Orange,2012,February,0.1,Tonnes,NR,Orange,4500,4500,4500,Rs/Quintal
Sirhind,Punjab,Orange,2012,February,1,Tonnes,NR,Other,1500,2000,1750,Rs/Quintal
Tanda Urmur,Punjab,Orange,2012,February,0.6,Tonnes,NR,Other,1500,2000,1800,Rs/Quintal
Ajmer(F&V),Rajasthan,Orange,2012,February,43.4,Tonnes,NR,Other,700,1100,900,Rs/Quintal
Alwar(FV),Rajasthan,Orange,2012,February,7.5,Tonnes,NR,Other,1500,2200,2000,Rs/Quintal
Chittorgarh,Rajasthan,Orange,2012,February,0.6,Tonnes,NR,Other,1300,1900,1500,Rs/Quintal
Jodhpur(F&V)(Bhadwasia),Rajasthan,Orange,2012,February,23,Tonnes,NR,Other,600,1400,1000,Rs/Quintal
Katpadi(Uzhavar Santhai),Tamil Nadu,Orange,2012,February,0.06,Tonnes,NR,Other,5000,5000,5000,Rs/Quintal
Gaddiannaram,Telangana,Orange,2012,February,8,Tonnes,NR,Orange,200,400,300,Rs/Quintal
Jhansi,Uttar Pradesh,Orange,2012,February,20,Tonnes,NR,Medium,1200,1800,1500,Rs/Quintal
Kotadwara,Uttrakhand,Orange,2012,February,1.2,Tonnes,NR,Other,900,2100,1300,Rs/Quintal
Kotadwara,Uttrakhand,Orange,2012,February,,,NR,Other1,900,2100,1300,Rs/Quintal
Kotadwara,Uttrakhand,Orange,2012,February,,,NR,Other2,900,2100,1300,Rs/Quintal
Mechua,West Bengal,Orange,2012,February,27.8,Tonnes,NR,Other,2500,2800,2800,Rs/Quintal
Mechua,West Bengal,Orange,2012,February,,,NR,Other1,2000,2300,2200,Rs/Quintal
Mechua,West Bengal,Orange,2012,February,,,NR,Other2,1500,1800,1600,Rs/Quintal
Hissar,Haryana,Other Fruits,2012,February,13.4,Tonnes,NR,Other,522,1048,800,Rs/Quintal
Kaithal,Haryana,Other Fruits,2012,February,19.5,Tonnes,NR,Other,700,7000,3000,Rs/Quintal
Khanina,Haryana,Other Fruits,2012,February,0.2,Tonnes,NR,Other,NR,1600,NR,Rs/Quintal
Madlauda,Haryana,Other Fruits,2012,February,0.6,Tonnes,NR,Other,1500,5000,3000,Rs/Quintal
Rewari,Haryana,Other Fruits,2012,February,12.5,Tonnes,NR,Other,1300,3000,2150,Rs/Quintal
Siddavatam,Andhra Pradesh,Papaya,2012,February,NR,Tonnes,NR,Papaya,550,650,600,Rs/Quintal
Vadodara(Navapura),Gujarat,Papaya,2012,February,12.5,Tonnes,NR,Other,700,900,800,Rs/Quintal
Ateli,Haryana,Papaya,2012,February,0.02,Tonnes,NR,Other,1150,1150,1150,Rs/Quintal
kalanwali,Haryana,Papaya,2012,February,0.03,Tonnes,NR,Other,1200,1200,1200,Rs/Quintal
Dhanotu (Mandi),Himachal Pradesh,Papaya,2012,February,0.2,Tonnes,NR,Papaya,1400,1800,1800,Rs/Quintal
Kullu,Himachal Pradesh,Papaya,2012,February,0.3,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Mandi(Mandi),Himachal Pradesh,Papaya,2012,February,0.1,Tonnes,NR,Papaya,1500,2000,1800,Rs/Quintal
Channapatana,Karnataka,Papaya,2012,February,NR,Tonnes,NR,Papaya,500,800,650,Rs/Quintal
Indore(F&V),Madhya Pradesh,Papaya,2012,February,43,Tonnes,NR,Other,300,800,500,Rs/Quintal
Lashkar,Madhya Pradesh,Papaya,2012,February,66.5,Tonnes,NR,Papaya,400,700,550,Rs/Quintal
Azadpur,NCT of Delhi,Papaya,2012,February,266.3,Tonnes,NR,Papaya,750,850,800,Rs/Quintal
Azadpur,NCT of Delhi,Papaya,2012,February,,,NR,Papaya1,500,600,550,Rs/Quintal
Azadpur,NCT of Delhi,Papaya,2012,February,,,NR,Papaya2,400,500,450,Rs/Quintal
Khunthabandha,Orissa,Papaya,2012,February,0.1,Tonnes,NR,Other,700,800,800,Rs/Quintal
Adampur,Punjab,Papaya,2012,February,0.1,Tonnes,NR,Papaya,1000,1000,1000,Rs/Quintal
Amritsar(Amritsar Mewa Mandi),Punjab,Papaya,2012,February,450,Tonnes,NR,Other,600,760,700,Rs/Quintal
Firozepur City,Punjab,Papaya,2012,February,14,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Guru Har Sahai,Punjab,Papaya,2012,February,0.5,Tonnes,NR,Papaya,1000,1200,1100,Rs/Quintal
Khanna,Punjab,Papaya,2012,February,0.4,Tonnes,NR,Other,800,1200,1000,Rs/Quintal
Ludhiana,Punjab,Papaya,2012,February,96,Tonnes,NR,Other,400,1600,1000,Rs/Quintal
Malout,Punjab,Papaya,2012,February,4.5,Tonnes,NR,Other,900,1100,1000,Rs/Quintal
Patiala,Punjab,Papaya,2012,February,1.6,Tonnes,NR,Papaya,1000,1400,1200,Rs/Quintal
Phagwara,Punjab,Papaya,2012,February,0.6,Tonnes,NR,Other,1000,1250,1125,Rs/Quintal
Sirhind,Punjab,Papaya,2012,February,0.5,Tonnes,NR,Other,1100,1400,1250,Rs/Quintal
Ajmer(F&V),Rajasthan,Papaya,2012,February,19,Tonnes,NR,Other,600,1000,900,Rs/Quintal
Chittorgarh,Rajasthan,Papaya,2012,February,0.2,Tonnes,NR,Other,1200,1500,1300,Rs/Quintal
Jodhpur(F&V)(Bhadwasia),Rajasthan,Papaya,2012,February,15.5,Tonnes,NR,Other,400,600,500,Rs/Quintal
Gaddiannaram,Telangana,Papaya,2012,February,8,Tonnes,NR,Papaya,200,600,400,Rs/Quintal
Jhansi,Uttar Pradesh,Papaya,2012,February,20,Tonnes,NR,Other,NR,NR,1325,Rs/Quintal
Muradabad,Uttar Pradesh,Papaya,2012,February,7,Tonnes,NR,Other,NR,NR,750,Rs/Quintal
Muzzafarnagar,Uttar Pradesh,Papaya,2012,February,26,Tonnes,NR,Other,650,725,690,Rs/Quintal
Vikasnagar,Uttrakhand,Papaya,2012,February,0.3,Tonnes,NR,Other,1100,1200,1200,Rs/Quintal
Sangrur,Punjab,Pears,2012,February,0.1,Tonnes,NR,Other,5000,5000,5000,Rs/Quintal
Akbarpur,Uttar Pradesh,Pears,2012,February,NR,Tonnes,NR,Other,2350,2500,2400,Rs/Quintal
Mohindergarh,Haryana,Pine Apple,2012,February,0.1,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Yamuna Nagar,Haryana,Pine Apple,2012,February,4,Tonnes,NR,Other,2700,3200,3200,Rs/Quintal
Palakkad,Kerala,Pine Apple,2012,February,6,Tonnes,NR,Pine Apple,1600,2000,1800,Rs/Quintal
Kolhapur,Maharashtra,Pine Apple,2012,February,1.7,Tonnes,NR,Other,400,1500,500,Rs/Quintal
Nagpur,Maharashtra,Pine Apple,2012,February,34.1,Tonnes,NR,Other,1000,1600,1300,Rs/Quintal
Azadpur,NCT of Delhi,Pine Apple,2012,February,58,Tonnes,NR,Pine Apple,1200,3600,2367,Rs/Quintal
Firozepur City,Punjab,Pine Apple,2012,February,2,Tonnes,NR,Other,1500,1800,1650,Rs/Quintal
Jagraon,Punjab,Pine Apple,2012,February,0.2,Tonnes,NR,Other,1800,1900,1850,Rs/Quintal
Jalandhar City,Punjab,Pine Apple,2012,February,4,Tonnes,NR,Other,1400,1700,1550,Rs/Quintal
Malout,Punjab,Pine Apple,2012,February,0.4,Tonnes,NR,Other,2300,2500,2400,Rs/Quintal
Patiala,Punjab,Pine Apple,2012,February,0.9,Tonnes,NR,Pine Apple,2000,3500,2800,Rs/Quintal
Sirhind,Punjab,Pine Apple,2012,February,0.2,Tonnes,NR,Other,1600,1800,1700,Rs/Quintal
Ajmer(F&V),Rajasthan,Pine Apple,2012,February,0.6,Tonnes,NR,Other,2200,2400,2300,Rs/Quintal
Jodhpur(F&V)(Bhadwasia),Rajasthan,Pine Apple,2012,February,1.8,Tonnes,NR,Other,1000,2000,1500,Rs/Quintal
Udaipur(F&V),Rajasthan,Pine Apple,2012,February,3.4,Tonnes,NR,Other,1150,1500,1325,Rs/Quintal
Vadodara(Navapura),Gujarat,Pomegranate,2012,February,2.5,Tonnes,NR,Other,5000,8000,7000,Rs/Quintal
Ambala City,Haryana,Pomegranate,2012,February,0.2,Tonnes,NR,Other,7500,10000,8000,Rs/Quintal
Ateli,Haryana,Pomegranate,2012,February,0.02,Tonnes,NR,Other,7150,7200,7150,Rs/Quintal
Ballabhgarh,Haryana,Pomegranate,2012,February,3.2,Tonnes,NR,Other,3000,7000,5000,Rs/Quintal
Bhuna,Haryana,Pomegranate,2012,February,0.04,Tonnes,NR,Other,8000,9000,8600,Rs/Quintal
Faridabad,Haryana,Pomegranate,2012,February,0.5,Tonnes,NR,Other,6000,7000,NR,Rs/Quintal
Jind,Haryana,Pomegranate,2012,February,0.1,Tonnes,NR,Other,6000,6000,6000,Rs/Quintal
Mohindergarh,Haryana,Pomegranate,2012,February,0.1,Tonnes,NR,Other,7000,7000,7000,Rs/Quintal
Naraingarh,Haryana,Pomegranate,2012,February,0.05,Tonnes,NR,Other,7000,7000,7000,Rs/Quintal
Yamuna Nagar,Haryana,Pomegranate,2012,February,2,Tonnes,NR,Other,8000,12500,12500,Rs/Quintal
Dhanotu (Mandi),Himachal Pradesh,Pomegranate,2012,February,0.1,Tonnes,NR,Pomogranate,7000,12000,12000,Rs/Quintal
Mandi(Mandi),Himachal Pradesh,Pomegranate,2012,February,0.1,Tonnes,NR,Pomogranate,7500,8000,7800,Rs/Quintal
Una,Himachal Pradesh,Pomegranate,2012,February,0.15,Tonnes,NR,Other,9200,13000,11000,Rs/Quintal
Samba,Jammu and Kashmir,Pomegranate,2012,February,0.1,Tonnes,NR,Other,8500,9500,9000,Rs/Quintal
Gadhwah,Jharkhand,Pomegranate,2012,February,NR,Tonnes,NR,Other,6000,8000,7000,Rs/Quintal
Lashkar,Madhya Pradesh,Pomegranate,2012,February,2,Tonnes,NR,Pomogranate,1500,3500,2500,Rs/Quintal
Aurangabad,Maharashtra,Pomegranate,2012,February,0.2,Tonnes,NR,Other,4000,5000,4500,Rs/Quintal
Kolhapur,Maharashtra,Pomegranate,2012,February,1.7,Tonnes,NR,Other,1000,5000,2000,Rs/Quintal
Nagpur,Maharashtra,Pomegranate,2012,February,21.9,Tonnes,NR,Other,4000,6200,5100,Rs/Quintal
Azadpur,NCT of Delhi,Pomegranate,2012,February,26,Tonnes,NR,Pomogranate,1875,11667,6428,Rs/Quintal
Batala,Punjab,Pomegranate,2012,February,0.3,Tonnes,NR,Other,6000,6500,6350,Rs/Quintal
Bhawanigarh,Punjab,Pomegranate,2012,February,0.1,Tonnes,NR,Other,9000,9000,9000,Rs/Quintal
Firozepur City,Punjab,Pomegranate,2012,February,3,Tonnes,NR,Other,7000,8000,7500,Rs/Quintal
Lehra Gaga,Punjab,Pomegranate,2012,February,0.1,Tonnes,NR,Other,NR,10500,NR,Rs/Quintal
Ludhiana,Punjab,Pomegranate,2012,February,3,Tonnes,NR,Other,4000,9000,6500,Rs/Quintal
Malout,Punjab,Pomegranate,2012,February,0.1,Tonnes,NR,Other,9300,9500,9400,Rs/Quintal
Nawan Shahar(Subzi Mandi),Punjab,Pomegranate,2012,February,0.05,Tonnes,NR,Other,7000,8000,7600,Rs/Quintal
Sangrur,Punjab,Pomegranate,2012,February,0.15,Tonnes,NR,Other,7800,9000,9000,Rs/Quintal
Sirhind,Punjab,Pomegranate,2012,February,0.2,Tonnes,NR,Other,10000,12000,11000,Rs/Quintal
Ajmer(F&V),Rajasthan,Pomegranate,2012,February,0.4,Tonnes,NR,Other,7000,10000,9000,Rs/Quintal
Jodhpur(F&V)(Bhadwasia),Rajasthan,Pomegranate,2012,February,0.5,Tonnes,NR,Other,4000,6000,5000,Rs/Quintal
Udaipur(F&V),Rajasthan,Pomegranate,2012,February,6,Tonnes,NR,Other,4000,7000,6500,Rs/Quintal
Gaddiannaram,Telangana,Pomegranate,2012,February,1160,Tonnes,NR,Pomogranate,100,300,150,Rs/Quintal
Jhansi,Uttar Pradesh,Pomegranate,2012,February,4,Tonnes,NR,Other,5000,7000,6100,Rs/Quintal
Kotadwara,Uttrakhand,Pomegranate,2012,February,0.3,Tonnes,NR,Other,3000,3500,3200,Rs/Quintal
Kotadwara,Uttrakhand,Pomegranate,2012,February,,,NR,Other1,3000,3500,3200,Rs/Quintal
Kotadwara,Uttrakhand,Pomegranate,2012,February,,,NR,Other2,3000,3500,3200,Rs/Quintal
Mechua,West Bengal,Pomegranate,2012,February,13.9,Tonnes,NR,Other,8800,11600,11000,Rs/Quintal
Hissar,Haryana,Seetapal,2012,February,1.4,Tonnes,NR,Other,300,975,650,Rs/Quintal
Meham,Haryana,Seetapal,2012,February,2,Tonnes,NR,Other,NR,700,350,Rs/Quintal
Ajmer(F&V),Rajasthan,Siddota,2012,February,4.8,Tonnes,NR,Other,700,900,800,Rs/Quintal
Aurangabad,Maharashtra,Sweet Lime,2012,February,1.6,Tonnes,NR,Other,700,1300,1000,Rs/Quintal
Kolhapur,Maharashtra,Sweet Lime,2012,February,10,Tonnes,NR,Other,750,3250,1500,Rs/Quintal
Nagpur,Maharashtra,Sweet Lime,2012,February,202.2,Tonnes,NR,Other,500,1300,900,Rs/Quintal
Channarayapatna,Karnataka,Tender Coconut,2012,February,1600,Tonnes,NR,Tender Coconut,3000,3000,3000,Rs/Quintal
Hunsur,Karnataka,Tender Coconut,2012,February,4200,Tonnes,NR,Tender Coconut,4150,4435,4435,Rs/Quintal
Maddur,Karnataka,Tender Coconut,2012,February,3800,Tonnes,NR,Tender Coconut,4000,4600,4400,Rs/Quintal
Pandavapura,Karnataka,Tender Coconut,2012,February,1200,Tonnes,NR,Tender Coconut,4000,7000,5000,Rs/Quintal
Srirangapattana,Karnataka,Tender Coconut,2012,February,300,Tonnes,NR,Tender Coconut,5000,5000,5000,Rs/Quintal
Katpadi(Uzhavar Santhai),Tamil Nadu,Tender Coconut,2012,February,0.65,Tonnes,NR,Other,700,700,700,Rs/Quintal
Bharuch,Gujarat,Water Melon,2012,February,10,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Vadodara(Navapura),Gujarat,Water Melon,2012,February,3.8,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Ambala City,Haryana,Water Melon,2012,February,0.1,Tonnes,NR,Other,1300,1300,1300,Rs/Quintal
Fatehabad,Haryana,Water Melon,2012,February,1,Tonnes,NR,Other,1600,2000,1800,Rs/Quintal
Naraingarh,Haryana,Water Melon,2012,February,0.2,Tonnes,NR,Other,1500,1500,1500,Rs/Quintal
Ratia,Haryana,Water Melon,2012,February,0.2,Tonnes,NR,Other,1000,1060,1060,Rs/Quintal
Yamuna Nagar,Haryana,Water Melon,2012,February,8,Tonnes,NR,Other,1000,1500,1500,Rs/Quintal
Kolhapur,Maharashtra,Water Melon,2012,February,48.3,Tonnes,NR,Other,150,2460,600,Rs/Quintal
Azadpur,NCT of Delhi,Water Melon,2012,February,124.1,Tonnes,NR,Water Melon,1167,1667,1375,Rs/Quintal
Bassi Pathana,Punjab,Water Melon,2012,February,0.1,Tonnes,NR,Other,2000,2000,2000,Rs/Quintal
Firozepur City,Punjab,Water Melon,2012,February,4,Tonnes,NR,Water Melon,1500,1800,1700,Rs/Quintal
Patiala,Punjab,Water Melon,2012,February,1.5,Tonnes,NR,Other,1200,1400,1400,Rs/Quintal
Sangrur,Punjab,Water Melon,2012,February,0.2,Tonnes,NR,Water Melon,2000,2000,2000,Rs/Quintal
Ahmedabad(Rajnagar sub yard),Gujarat,Amaranthus,2012,February,0.4,Tonnes,NR,Other,500,1000,800,Rs/Quintal
Ezhamkulam,Kerala,Amaranthus,2012,February,0.2,Tonnes,NR,Other,1100,1500,1300,Rs/Quintal
